Department,Districts,Monthregister,Fund,Rangeincome,Register
MA IPS,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN SANGGAU,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMK INFORMATIKA,KABUPATEN SANGGAU,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
MA IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,1.500.001 - 2.000.000,N
SMK Perkantoran,KABUPATEN KETAPANG,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,3.000.001 - 5.000.000,N
SMK INFORMATIKA,KOTA PONTIANAK,August,ORANG TUA,< 500.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,2.000.001 - 3.000.000,N
SMK INFORMATIKA,KABUPATEN SINTANG,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN SINTANG,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN KAPUAS HULU,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN KAPUAS HULU,August,ORANG TUA,500.001 - 1.000.000,Y
SMK INFORMATIKA,KABUPATEN KAPUAS HULU,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN KAPUAS HULU,August,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN LANDAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN LANDAK,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN SEKADAU,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN MELAWI,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN MELAWI,August,ORANG TUA,> 5.000.000,Y
SMA-IPA,KABUPATEN KAYONG UTARA,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN KAYONG UTARA,August,ORANG TUA,500.001 - 1.000.000,N
SPP-PERTANIAN,KABUPATEN KUBU RAYA,August,ORANG TUA,3.000.001 - 5.000.000,N
SPP-PERTANIAN,KABUPATEN KUBU RAYA,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,N
SMK-MEKANIK,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,N
SMK AKUNTANSI,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,> 5.000.000,Y
SMA-IPA,KOTA SINGKAWANG,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMK INFORMATIKA,KABUPATEN SAMBAS,August,ORANG TUA,< 500.000,Y
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN MEMPAWAH,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN MEMPAWAH,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN SANGGAU,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN LANDAK,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,500.001 - 1.000.000,N
SMK Perkantoran,KABUPATEN KETAPANG,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN SINTANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN BENGKAYANG,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN SEKADAU,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN KAYONG UTARA,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN KAYONG UTARA,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN KAYONG UTARA,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN KAYONG UTARA,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMK AKUNTANSI,KABUPATEN SAMBAS,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,< 500.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,< 500.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,> 5.000.000,Y
SMA-IPA,KOTA SINGKAWANG,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN MEMPAWAH,August,ORANG TUA,> 5.000.000,N
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA SINGKAWANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
MA IPS,KABUPATEN SAMBAS,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN KAPUAS HULU,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN LANDAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN SEKADAU,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KOTA SINGKAWANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMK INFORMATIKA,KABUPATEN SAMBAS,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN MEMPAWAH,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN SANGGAU,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,3.000.001 - 5.000.000,Y
MA IPA,KABUPATEN SINTANG,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN SINTANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN SINTANG,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN KAPUAS HULU,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,> 5.000.000,Y
SMA-IPA,KABUPATEN LANDAK,August,ORANG TUA,3.000.001 - 5.000.000,N
SMEA,KABUPATEN SEKADAU,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN KAYONG UTARA,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN MELAWI,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,Y
SPK KEPERAWATAN,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,< 500.000,Y
SMK Perkantoran,KOTA PONTIANAK,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KOTA SINGKAWANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA SINGKAWANG,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN MEMPAWAH,August,ORANG TUA,500.001 - 1.000.000,N
SPK KEPERAWATAN,KABUPATEN MEMPAWAH,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,3.000.001 - 5.000.000,Y
SM ANALIS KESEHATAN,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN KETAPANG,August,BEASISWA,< 500.000,N
MA IPA,KABUPATEN SINTANG,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMK Perkantoran,KABUPATEN SINTANG,August,ORANG TUA,> 5.000.000,Y
SMK PERTANIAN,KABUPATEN LANDAK,August,ORANG TUA,< 500.000,Y
SMA-IPA,KABUPATEN SINTANG,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,500.001 - 1.000.000,Y
MA IPS,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KOTA SINGKAWANG,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA AGAMA,KOTA SINGKAWANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA SINGKAWANG,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN MEMPAWAH,August,ORANG TUA,> 5.000.000,N
SMA-IPA,KABUPATEN SANGGAU,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,< 500.000,Y
SMA-IPS,KABUPATEN BENGKAYANG,August,ORANG TUA,500.001 - 1.000.000,Y
MA IPA,KABUPATEN LANDAK,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN SEKADAU,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,1.500.001 - 2.000.000,N
SMK INFORMATIKA,KABUPATEN KUBU RAYA,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,> 5.000.000,N
SMK Perkantoran,KABUPATEN SAMBAS,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KOTA SINGKAWANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMK-MEKANIK,KABUPATEN SEKADAU,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN LANDAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN LANDAK,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN MELAWI,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMK BISNIS MANAJEMEN,KABUPATEN KUBU RAYA,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA SINGKAWANG,August,ORANG TUA,3.000.001 - 5.000.000,N
MA IPA,KABUPATEN SAMBAS,August,ORANG TUA,< 500.000,N
SMK AKUNTANSI,KABUPATEN SAMBAS,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN MEMPAWAH,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,< 500.000,Y
SMA-IPA,KABUPATEN SEKADAU,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN KAYONG UTARA,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,2.000.001 - 3.000.000,N
MA IPS,KOTA SINGKAWANG,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN MEMPAWAH,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN MEMPAWAH,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN SANGGAU,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,3.000.001 - 5.000.000,N
SMK INFORMATIKA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN SINTANG,August,BEASISWA,1.500.001 - 2.000.000,Y
STM-PERIKANAN,KABUPATEN KAPUAS HULU,August,ORANG TUA,< 500.000,Y
SMA-IPA,KABUPATEN MELAWI,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN SEKADAU,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN SEKADAU,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN SEKADAU,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMK AKUNTANSI,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,N
SMK-MEKANIK,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,< 500.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,> 5.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,500.001 - 1.000.000,Y
MA IPS,KABUPATEN KETAPANG,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMK-MEKANIK,KABUPATEN SINTANG,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,< 500.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN MELAWI,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMK INFORMATIKA,KABUPATEN MELAWI,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN KAYONG UTARA,August,BEASISWA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KOTA PONTIANAK,August,BEASISWA,< 500.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,N
MA IPA,KABUPATEN SAMBAS,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,500.001 - 1.000.000,N
MA IPA,KABUPATEN SAMBAS,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN MEMPAWAH,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN MEMPAWAH,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,1.500.001 - 2.000.000,N
SMK PERTANIAN,KABUPATEN KETAPANG,August,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN KAPUAS HULU,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMK INFORMATIKA,KABUPATEN SEKADAU,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN MELAWI,August,ORANG TUA,< 500.000,Y
SMA-IPS,KABUPATEN MELAWI,August,ORANG TUA,< 500.000,N
SMK-MEKANIK,KABUPATEN KAYONG UTARA,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
STM-PEMBANGUNAN,KOTA PONTIANAK,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,2.000.001 - 3.000.000,N
SMK-MEKANIK,KOTA SINGKAWANG,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN SANGGAU,August,ORANG TUA,1.000.001 - 1.500.000,N
SMK-PERHOTELAN,KABUPATEN KETAPANG,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KETAPANG,August,BEASISWA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN SINTANG,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN SINTANG,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN LANDAK,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN LANDAK,August,ORANG TUA,500.001 - 1.000.000,N
SMK AKUNTANSI,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
STM-PERIKANAN,KABUPATEN KUBU RAYA,August,BEASISWA,500.001 - 1.000.000,Y
SMK PERTANIAN,KABUPATEN KUBU RAYA,August,BEASISWA,< 500.000,Y
MA IPS,KABUPATEN KUBU RAYA,August,BEASISWA,< 500.000,Y
SMA AGAMA,KOTA PONTIANAK,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,N
SMK PARIWISATA,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KOTA SINGKAWANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA SINGKAWANG,August,ORANG TUA,2.000.001 - 3.000.000,N
STM-MESIN,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN MEMPAWAH,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN SAMBAS,August,BEASISWA,500.001 - 1.000.000,Y
SMA-IPS,KOTA SINGKAWANG,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,> 5.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,> 5.000.000,N
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,500.001 - 1.000.000,N
MA IPA,KOTA SINGKAWANG,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMK PERTANIAN,KABUPATEN SAMBAS,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN MEMPAWAH,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN MEMPAWAH,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN MEMPAWAH,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,> 5.000.000,Y
SMK BISNIS MANAJEMEN,KABUPATEN KUBU RAYA,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN SANGGAU,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,1.500.001 - 2.000.000,N
SMK AKUNTANSI,KABUPATEN SANGGAU,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,> 5.000.000,N
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,1.000.001 - 1.500.000,Y
PAKET C,KABUPATEN KETAPANG,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,1.000.001 - 1.500.000,Y
